epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,lr,seconds
1,0.8435459587236261,0.9748988973262344,0.9749157769396083,0.8111131305029338,0.9780911609166457,0.9479238695667207,9.755282581475769e-05,1944.1
2,0.7649822789690222,0.994126589275843,0.9941150978916016,0.8108853781382402,0.9781751028288425,0.9449180905216146,9.045084971874737e-05,1746.4
3,0.758868979941574,0.9954685636146752,0.9954632494302105,0.7998391868365078,0.9822882565264837,0.9452857659296683,7.938926261462366e-05,2002.0
4,0.7545186907581044,0.9964359489104186,0.9964324560191883,0.805035154515086,0.9794342315117939,0.9560430083234505,6.545084971874737e-05,2102.1
5,0.7510326060937048,0.9973924238456838,0.9973911289491806,0.7906981320262285,0.9848904558045832,0.9551559993898082,4.9999999999999996e-05,1962.8
6,0.7484377694866613,0.9980761397689913,0.9980758735451712,0.7939687271737776,0.9822043146142869,0.9552241308355929,3.454915028125263e-05,2543.3
7,0.7462849408229463,0.9987634924791249,0.9987636738678256,0.7908844596581326,0.9858138168387476,0.9580156058914377,2.0610737385376345e-05,3908.7
8,0.7448319637818082,0.9993526519449536,0.9993526822314998,0.7918699699095412,0.9858977587509443,0.9583684957568954,9.549150281252631e-06,1462.1
9,0.743961152548023,0.9995563120072154,0.9995565463509427,0.7942218748996612,0.9856459330143541,0.956137161719025,2.447174185242323e-06,1465.5
10,0.7434393505603947,0.999789066364086,0.9997891376186657,0.7940590411642282,0.9862335263997314,0.9570373107576953,0.0,1463.0
