true_class,true_char,pred_class,pred_char,count,true_support,pct_of_true_class
210,า,229,ๅ,40,955,4.19
199,ว,210,า,20,328,6.1
229,ๅ,210,า,8,439,1.82
170,ช,171,ซ,7,192,3.65
210,า,199,ว,7,955,0.73
227,ใ,210,า,7,206,3.4
209,ั,233,้,6,783,0.77
180,ด,181,ต,6,385,1.56
183,ท,190,พ,4,332,1.2
195,ร,199,ว,3,886,0.34
