true_class,true_char,pred_class,pred_char,count,true_support,pct_of_true_class
199,ว,210,า,323,345,93.62
210,า,229,ๅ,259,1005,25.77
209,ั,233,้,123,824,14.93
183,ท,190,พ,95,349,27.22
183,ท,203,ห,95,349,27.22
181,ต,180,ด,74,332,22.29
180,ด,164,ค,65,405,16.05
185,น,193,ม,53,973,5.45
195,ร,210,า,49,933,5.25
182,ถ,210,า,39,87,44.83
